prod_id,item_details,prod_nm,value
872,,whirlpool wtw6700tw 28 ' cabrio series top loader washer ( metallic/white ),925.91
873,,whirlpool wtw6700tu cabrio 4.6 cu . ft. top load washer ( diamond dust ),1029.75
874,"canon eos rebel xs digital slr camera with 10 megapixel , 2.5 ' lcd , 3 frames per sec & live view mode black",canon eos rebel xs digital slr camera with ef-s 18-55mm 1:3.5 -5.6 is lens black 2762b003,461.96
875,,weber summit e-620 copper lp gas grill,
876,,weber summit sp-320 stainless lp gas grill,
877,,weber genesis ep-320 blue lp gas grill,
878,"50 ' atsc , ntsc 16:9 1920 x 1080 hdtv",panasonic viera th-50pz850u 50 ' plasma tv,2096.99
879,"8 ' lcd dvd + rw , dvd-rw , dvd + r , dvd-r , cd-rw dvd video , mp3 , jpeg playback 1 disc ( s ) progressive scan white",sony dvpfx820 portable dvd player dvpfx820/w,149.0
880,8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd,sony cyber-shot dsc-w150 digital camera black dscw150/b,129.99
881,"bd-r , dvd-rw , cd-rw , secure digital ( sd ) dvd video , cd-da , mp3 , wma , jpeg , divx 6 , pcm playback progressive scan",denon dvd-3800bdci blu-ray disc player dvd3800bdci,
882,"32 ' atsc , ntsc 16:9 1920 x 1080 dolby , surround hdtv",sony bravia kdl32xbr6 32 ' lcd tv,998.72
883,,panasonic kxth1212b,79.99
884,60 ' dlp hdtv ready,mitsubishi wd-60735 60 ' projection tv,1288.0
885,"37 ' active matrix tft atsc , ntsc , ntsc-m 16:9 1920 x 1080 surround hdtv 1080i , 1080p",sony bravia xbr series kdl-37xbr6 37 ' lcd tv kdl37xbr6,1197.66
886,", a/v receiver , 7.1 speakers 1200w rms dolby pro logic iix , dolby digital , dolby digital ex , dts , dts-es , dts neo :6 , dts 96/24 black",onkyo hts5100 home theater system hts5100b,478.72
887,"dvd player , a/v receiver , 5.1 speakers 1 disc ( s ) progressive scan 1000w rms dolby digital , dolby pro logic , dolby pro logic ii , dts",sony ht7200dh home theater system,376.96
888,"dolby digital , dolby pro logic ii , dts 96/24 , dts neo :6 , dolby digital ex , dolby pro logic iix , dolby pro logic , dts-es , digital cinema sound , dts",sony str-dg820 a/v receiver strdg820,318.72
889,"40 ' atsc , ntsc 16:9 1920 x 1080 dolby , surround hdtv 1080i , 1080p",sony bravia z series kdl-40z4100 40 ' lcd tv kdl40z4100/b,1327.47
890,"46 ' atsc , ntsc 16:9 1920 x 1080 dolby hdtv 1080i , 1080p",sony bravia z series kdl-46z4100 46 ' lcd tv kdl46z4100/b,1687.98
891,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",sony bravia m series kdl-32m4000 32 ' lcd tv kdl32m4000,639.95
892,"46 ' atsc , ntsc 16:9 1920 x 1080 hdtv",sony bravia w series kdl-46w4100 46 ' lcd tv kdl46w4100,1399.99
893,"52 ' atsc , ntsc 16:9 1920 x 1080 hdtv",sony bravia v series kdl-52v4100 52 ' lcd tv kdl52v4100,1599.0
894,"lg 52lg50 52 ' widescreen 1080p lcd hdtv 15,000:1 dynamic contrast ratio 6ms response time",lg 52lg50 52 ' lcd tv,
895,"lg 47lg50 47 ' widescreen 1080p lcd hdtv 15,000:1 dynamic contrast ratio 5ms response time",lg 47lg50 47 ' lcd tv,
896,"lg 32lg40 32 ' widescreen 720p lcd hdtv w / built-in dvd player 12,000:1 dynamic contrast ratio 8ms response time",lg 32lg40 32 ' tv/dvd combo,
897,,mitsubishi mb-s73 tv stand,499.0
898,73 ' dlp,mitsubishi diamond wd-73835 73 ' projection tv wd73835,3299.0
899,"lg 52lg70 52 ' widescreen 1080p lcd hdtv 120hz 15,000:1 dynamic contrast ratio 4ms response time",lg lg70 series 52lg70 52 ' lcd tv,
900,52 ' 16:9 1920 x 1080 hdtv,sony bravia w series kdl-52w4100 52 ' lcd tv kdl52w4100,1998.72
901,65 ' dlp,mitsubishi diamond wd-65835 65 ' projection tv,2399.0
902,"dolby digital , dolby pro logic ii , dts 96/24 , dts neo :6 , dolby digital ex , dolby pro logic iix , dolby pro logic , dts-es , digital cinema sound , dtsfm , am , xm",sony str-dg920 a/v receiver strdg920,404.07
903,"dolby digital surround , dolby pro logic iix , dts-es , dts neo :6 , dts 96/24fm , am",denon avr-1609 a/v receiver avr1609,348.0
904,"dolby digital surround , dts-es , dts neo :6 , dts 96/24 , dolby pro logic iixfm , am",denon avr-1709 a/v receiver avr1709,448.0
905,12.1 megapixel 3 ' active matrix tft color lcd,nikon d700 digtal slr camera 25444,2699.0
906,,klipsch ks7502thx ( each ) ks-7502-thx,1000.0
907,photo viewer 7 ' lcd,sony dpfd70 digital photo frame,107.58
908,photo viewer 9 ' lcd,sony dpfv900 digital photo frame dpf-v900,199.95
909,,sony picture station digital photo printer dppfp95,
910,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,olympus fe-360 digital camera pink 226540,104.95
911,"olympus fe-370 8 megapixel digital camera w / dual image stabilization , 5x optical zoom , 2.7 lcd , face detection , & 19 easy-to-use shooting modes silver",olympus fe-370 digital camera silver 226420,129.95
912,"dvd + rw , dvd-r , dvd-ram , cd-rw dvd video , cd-da , video cd playback 1 disc ( s ) progressive scan",sony rdr-gx360 dvd player/recorder,109.99
913,,sony bdp-s550 blu-ray dvd player,322.7
914,,"samsung ht-bd2t blu-ray 7.1 home theater system blu-ray , dvd & cd playback , fm receiver w/30 station presets , 1100w total output , 4 tower speakers & subwoofer ht-bd2t / xaa",
915,,"samsung ln46a850 46 ' 1080p lcd hdtv 50,000:1 dynamic contrast ratio 120hz 4ms response time super slim 1.9 ' thick !",1769.0
916,,"samsung ln52a850 52 ' 1080p lcd hdtv 50,000:1 dynamic contrast ratio 120hz 4ms response time super slim 1.9 ' thick !",2399.98
917,,7.0 cu . ft. super capacity electric dryer med5900tw,479.0
918,,full console dishwasher with 4 automatic cycles du1055xtsb,378.29
919,,pedistal for duet sport electric washer/dryer whp1000sq,174.29
